sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
280,Open Elective,CFOC243M,Thermodynamics for Biological Systems: Classical and Statistical Aspect,Online Course,1,0,0,0,0,3
281,Open Elective,CFOC244M,Optical Spectroscopy and Microscopy : Fundamentals of Optical Measurements and Instrumentation,Online Course,1,0,0,0,0,3
282,Open Elective,CFOC245M,Fundamentals of Semiconductor Devices,Online Course,1,0,0,0,0,3
283,Open Elective,CFOC246M,Characterization of Construction Materials,Online Course,1,0,0,0,0,3
284,Open Elective,CFOC247M,Introduction to Civil Engineering Profession,Online Course,1,0,0,0,0,2
285,Open Elective,CFOC248M,Environmental Geomechanics,Online Course,1,0,0,0,0,3
286,Open Elective,CFOC249M,Mechanical Characterization of Bituminous Materials,Online Course,1,0,0,0,0,3
287,Open Elective,CFOC250M,Geosynthetics and Reinforced Soil Structures,Online Course,1,0,0,0,0,3
288,Open Elective,CFOC251M,Geotechnical Engineering II Foundation Engineering,Online Course,1,0,0,0,0,3
289,Open Elective,CFOC252M,Landscape Architecture and Site Planning - Basic Fundamentals,Online Course,1,0,0,0,0,2
290,Open Elective,CFOC253M,Plastic Waste Management,Online Course,1,0,0,0,0,2
291,Open Elective,CFOC254M,Advanced Topics in the Science and Technology of Concrete,Online Course,1,0,0,0,0,1
292,Open Elective,CFOC255M,Applied Environmental Microbiology,Online Course,1,0,0,0,0,3
293,Open Elective,CFOC256M,Digital Land Surveying And Mapping (DLS&M),Online Course,1,0,0,0,0,2
294,Open Elective,CFOC257M,Earthquake Geology: A tool for Seismic Hazard Assessment,Online Course,1,0,0,0,0,3
