sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
198,Open Elective,BHUM236L,Taxation,Theory Only,1,3,0,0,0,3
199,Open Elective,BMEE102P,Engineering Design Visualisation Lab,Lab Only,1,0,0,4,0,2
200,Open Elective,BMEE355E,Cloud Computing,Embedded Theory and Lab,1,1,0,4,0,3
201,Open Elective,BSTS301P,Advanced Competitive Coding � I,Soft Skill,1,3,0,0,0,1.5
202,Open Elective,BSTS302P,Advanced Competitive Coding - II,Soft Skill,1,3,0,0,0,1.5
203,Open Elective,CFOC101M,Advanced Green Manufacturing Systems,Online Course,1,0,0,0,0,3
204,Open Elective,CFOC102M,Introduction to Cognitive Psychology,Online Course,1,0,0,0,0,3
205,Open Elective,CFOC103M,Introduction to Political Theory,Online Course,1,0,0,0,0,3
206,Open Elective,CFOC104M,Six Sigma,Online Course,1,0,0,0,0,3
207,Open Elective,CFOC105M,Emotional Intelligence,Online Course,1,0,0,0,0,2
208,Open Elective,CFOC106M,Manufacturing Strategy,Online Course,1,0,0,0,0,2
209,Open Elective,CFOC107M,Supply Chain Analytics,Online Course,1,0,0,0,0,2
210,Open Elective,CFOC108M,Systems Engineering: Theory and Practice,Online Course,1,0,0,0,0,2
211,Open Elective,CFOC109M,Design Thinking - A Primer,Online Course,1,0,0,0,0,1
212,Open Elective,CFOC110M,MCDM Techniques Using R and MARLAB,Online Course,1,0,0,0,0,1
213,Open Elective,CFOC111M,Perspectives on Neurolinguistic,Online Course,1,0,0,0,0,1
214,Open Elective,CFOC112M,Sociology of Science,Online Course,1,0,0,0,0,1
215,Open Elective,CFOC113M,Contemporary Themes in India’s Economic Development and Economic Survey,Online Course,1,0,0,0,0,3
216,Open Elective,CFOC114M,Problem Solving through Programming in C,Online Course,1,0,0,0,0,3
217,Open Elective,CFOC115M,Design and Analysis of Algorithms,Online Course,1,0,0,0,0,2
218,Open Elective,CFOC116M,Computer Vision,Online Course,1,0,0,0,0,3
219,Open Elective,CFOC117M,Spatial Informatics,Online Course,1,0,0,0,0,2
220,Open Elective,CFOC118M,Practical Machine Learning with Tensorflow,Online Course,1,0,0,0,0,2
221,Open Elective,CFOC119M,Training of Trainers,Online Course,1,0,0,0,0,3
222,Open Elective,CFOC120M,Knowledge Management,Online Course,1,0,0,0,0,2
223,Open Elective,CFOC121M,Leadership,Online Course,1,0,0,0,0,1
224,Open Elective,CFOC122M,Educational Leadership,Online Course,1,0,0,0,0,2
225,Open Elective,CFOC123M,Cost Accounting,Online Course,1,0,0,0,0,1
226,Open Elective,CFOC124M,"Practitioners Course In Descriptive, Predictive and Prescriptive Analytics",Online Course,1,0,0,0,0,2
227,Open Elective,CFOC125M,Decision Making Under Uncertainty,Online Course,1,0,0,0,0,1
228,Open Elective,CFOC126M,Data Analysis and Decision Making - III,Online Course,1,0,0,0,0,3
229,Open Elective,CFOC127M,Business Analytics and Data Mining Modeling Using R Part II,Online Course,1,0,0,0,0,1
230,Open Elective,CFOC128M,Business Analytics and Text Mining Modeling Using Python,Online Course,1,0,0,0,0,2
231,Open Elective,CFOC129M,Economics of Health and Health Care,Online Course,1,0,0,0,0,2
232,Open Elective,CFOC130M,Human Resource Development,Online Course,1,0,0,0,0,3
233,Open Elective,CFOC131M,Performance and Reward Management,Online Course,1,0,0,0,0,3
234,Open Elective,CFOC132M,Corporate Social Responsibility,Online Course,1,0,0,0,0,2
235,Open Elective,CFOC133M,E-Business,Online Course,1,0,0,0,0,3
236,Open Elective,CFOC134M,"Innovation, Business Models and Entrepreneurship",Online Course,1,0,0,0,0,2
237,Open Elective,CFOC135M,The Ethical Corporation,Online Course,1,0,0,0,0,2
238,Open Elective,CFOC136M,Toyota Production System,Online Course,1,0,0,0,0,2
239,Open Elective,CFOC137M,Intellectual Property Rights and Competition Law,Online Course,1,0,0,0,0,2
240,Open Elective,CFOC138M,Patent Search for Engineers and Lawyers,Online Course,1,0,0,0,0,2
241,Open Elective,CFOC139M,Role of Craft and Technology in Interior - Architecture,Online Course,1,0,0,0,0,2
242,Open Elective,CFOC140M,Glass In Buildings : Design And Applications,Online Course,1,0,0,0,0,3
243,Open Elective,CFOC141M,Visual Perception and Art: A Survey Across the Cultures,Online Course,1,0,0,0,0,1
244,Open Elective,CFOC142M,Mapping Signal Processing Algorithms to Architectures,Online Course,1,0,0,0,0,3
245,Open Elective,CFOC143M,Introduction to Computer Vision,Online Course,1,0,0,0,0,3
246,Open Elective,CFOC144M,"Op-Amp Practical Applications: Design, Simulation and Implementation",Online Course,1,0,0,0,0,3
247,Open Elective,CFOC145M,Fabrication Techniques for MEMs - based sensors: clinical Perspective,Online Course,1,0,0,0,0,3
248,Open Elective,CFOC146M,Linear System Theory,Online Course,1,0,0,0,0,3
249,Open Elective,CFOC147M,Advanced Linear Continuous Control Systems: Applications with MATLAB Programming and Simulink,Online Course,1,0,0,0,0,2
250,Open Elective,CFOC148M,Introduction to Wireless and Cellular Communications,Online Course,1,0,0,0,0,3
251,Open Elective,CFOC149M,Digital Switching - I,Online Course,1,0,0,0,0,2
252,Open Elective,CFOC150M,Microelectronics: Devices To Circuits,Online Course,1,0,0,0,0,3
253,Open Elective,CFOC151M,Digital Image Processing,Online Course,1,0,0,0,0,3
254,Open Elective,CFOC152M,Pattern Recognition and Application,Online Course,1,0,0,0,0,3
255,Open Elective,CFOC153M,Microwave Theory and Techniques,Online Course,1,0,0,0,0,3
256,Open Elective,CFOC154M,Principles and Techniques of Modern Radar Systems,Online Course,1,0,0,0,0,3
257,Open Elective,CFOC155M,Computational Electromagnetics,Online Course,1,0,0,0,0,3
258,Open Elective,CFOC156M,Microwave Engineering,Online Course,1,0,0,0,0,3
259,Open Elective,CFOC157M,Introduction to parallel Programming in Open MP,Online Course,1,0,0,0,0,1
260,Open Elective,CFOC158M,Reinforcement Learning,Online Course,1,0,0,0,0,3
261,Open Elective,CFOC159M,Applied Natural Language Processing,Online Course,1,0,0,0,0,3
262,Open Elective,CFOC160M,Python for Data Science,Online Course,1,0,0,0,0,1
263,Open Elective,CFOC161M,Data Science for Engineers,Online Course,1,0,0,0,0,2
264,Open Elective,CFOC162M,Scalable Data Science,Online Course,1,0,0,0,0,2
